Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,Jin-Ho KIM,1984 Los Angeles,Archery,Women's,individual FITA round,Images/Medal_Bronze.png,KOR,Bronze
NaN,Chil-Sung CHUN,1984 Los Angeles,Boxing,Men's,57 - 60kg (lightweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Yong-Chul CHO,1984 Los Angeles,Judo,Men's,+ 95kg (heavyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Gab-Do SON,1984 Los Angeles,Wrestling Freestyle,Men's,- 48kg (light-flyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Eui-Kon KIM,1984 Los Angeles,Wrestling Freestyle,Men's,52 - 57kg (bantamweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Jung-Keun LEE,1984 Los Angeles,Wrestling Freestyle,Men's,57 - 62kg (featherweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Dae-Du BANG,1984 Los Angeles,Wrestling Greco-Roman,Men's,48 - 52kg (flyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Han-Sup LEEIn-Soo CHUNSung-Soo PARK,1988 Seoul,Archery,Men's,teams FITA round,Images/Medal_Gold.png,KOR,Gold
NaN,Soo-Nyung KIM,1988 Seoul,Archery,Women's,individual FITA round,Images/Medal_Gold.png,KOR,Gold
NaN,Hee-Kyung WANGSoo-Nyung KIMYoung-Sook YUN,1988 Seoul,Archery,Women's,teams FITA round,Images/Medal_Gold.png,KOR,Gold
NaN,Kwang-Sun KIM,1988 Seoul,Boxing,Men's,48 - 51kg (flyweight),Images/Medal_Gold.png,KOR,Gold
NaN,Si-Hun PARK,1988 Seoul,Boxing,Men's,67 - 71kg (light-middleweight),Images/Medal_Gold.png,KOR,Gold
NaN,Ji-Hyun SONGChoon-Rye KIMMin-Hee SUKMyung-Soon KIMHyun-Mee KIMKyung-Soon KIMHyun-Sook HANMi-Sook KIMMi-Ha SONKi-Soon LEEMi-Kyung LIMKyung-Hwa SUNG,1988 Seoul,Handball,Women's,handball,Images/Medal_Gold.png,KOR,Gold
NaN,Jae-Yup KIM,1988 Seoul,Judo,Men's,- 60 kg,Images/Medal_Gold.png,KOR,Gold
NaN,Kyung-Keun LEE,1988 Seoul,Judo,Men's,60 - 65kg (half-lightweight),Images/Medal_Gold.png,KOR,Gold
NaN,Nam-Kyu YOO,1988 Seoul,Table Tennis,Men's,singles,Images/Medal_Gold.png,KOR,Gold
NaN,Young-Ja YANGJung Hwa HYUN,1988 Seoul,Table Tennis,Women's,doubles,Images/Medal_Gold.png,KOR,Gold
NaN,Myung-Woo HAN,1988 Seoul,Wrestling Freestyle,Men's,74 - 82kg (middleweight),Images/Medal_Gold.png,KOR,Gold
NaN,Young-Nam KIM,1988 Seoul,Wrestling Greco-Roman,Men's,68 - 74kg (welterweight),Images/Medal_Gold.png,KOR,Gold
NaN,Sung-Soo PARK,1988 Seoul,Archery,Men's,individual FITA round,Images/Medal_Silver.png,KOR,Silver
NaN,Hee-Kyung WANG,1988 Seoul,Archery,Women's,individual FITA round,Images/Medal_Silver.png,KOR,Silver
NaN,Hyun-Man BAIK,1988 Seoul,Boxing,Men's,81 - 91kg (heavyweight),Images/Medal_Silver.png,KOR,Silver
NaN,Tae-Il YOONYoung-Dae PARKHyun-Suk ROHSang-Hyo LEEJae-Hong SHIMYung-Suk SHINSuk-Jae CHOIDo-Hun PARKSuk-Chang KOHJae-Won KANGJin-Suk LIMJae-Hwan KIMYoung-Ki OH,1988 Seoul,Handball,Men's,handball,Images/Medal_Silver.png,KOR,Silver
NaN,Ki-Hyang CHOSoon-Ja PARKMi-Sun KIMEun-Jung CHANGWon-Sim JINYoung-Sook KIMKye-Sook LIMChoon-Ok CHOISoon-Duk KIMKwang-Mi SEOEun-Kyung CHUNGOk-Kyung HANSang-Hyun CHUNGKeum-Sook HWANGHyo-Sun SEOGum Shil HAN,1988 Seoul,Hockey,Women's,hockey,Images/Medal_Silver.png,KOR,Silver
NaN,Young-Chul CHA,1988 Seoul,Shooting,Men's,50m rifle prone,Images/Medal_Silver.png,KOR,Silver
NaN,Ki Taik KIM,1988 Seoul,Table Tennis,Men's,singles,Images/Medal_Silver.png,KOR,Silver
NaN,Byung-Kwan CHUN,1988 Seoul,Weightlifting,Men's,- 52kg (flyweight),Images/Medal_Silver.png,KOR,Silver
NaN,Jang-Soon PARK,1988 Seoul,Wrestling Freestyle,Men's,62 - 68kg (lightweight),Images/Medal_Silver.png,KOR,Silver
NaN,Sung-Moon KIM,1988 Seoul,Wrestling Greco-Roman,Men's,62 - 68kg (lightweight),Images/Medal_Silver.png,KOR,Silver
NaN,Young-Sook YUN,1988 Seoul,Archery,Women's,individual FITA round,Images/Medal_Bronze.png,KOR,Bronze
NaN,Jae-Hyuk LEE,1988 Seoul,Boxing,Men's,54 - 57kg (featherweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Jong-Hoon PARK,1988 Seoul,Gymnastics Artistic,Men's,vault,Images/Medal_Bronze.png,KOR,Bronze
NaN,Yong-Chul CHO,1988 Seoul,Judo,Men's,+ 95kg (heavyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Jae Hyung ANNam-Kyu YOO,1988 Seoul,Table Tennis,Men's,doubles,Images/Medal_Bronze.png,KOR,Bronze
NaN,Kyung-Kun LEE,1988 Seoul,Weightlifting,Men's,75 - 82.5kg (light-heavyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Kyung-Sun NOH,1988 Seoul,Wrestling Freestyle,Men's,52 - 57kg (bantamweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Tae-Woo KIM,1988 Seoul,Wrestling Freestyle,Men's,82 - 90kg (light-heavyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Jae-Suk LEE,1988 Seoul,Wrestling Greco-Roman,Men's,48 - 52kg (flyweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Dae-Hyun AN,1988 Seoul,Wrestling Greco-Roman,Men's,57 - 62kg (featherweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Sang-Kyu KIM,1988 Seoul,Wrestling Greco-Roman,Men's,74 - 82kg (middleweight),Images/Medal_Bronze.png,KOR,Bronze
NaN,Youn-Jeong CHO,1992 Barcelona,Archery,Women's,individual (FITA Olympic round - 70m),Images/Medal_Gold.png,KOR,Gold
NaN,Youn-Jeong CHOSoo-Nyung KIMEun Kyung LEE,1992 Barcelona,Archery,Women's,team (FITA Olympic round - 70m),Images/Medal_Gold.png,KOR,Gold
NaN,Young-Cho HWANG,1992 Barcelona,Athletics,Men's,marathon,Images/Medal_Gold.png,KOR,Gold
NaN,Moon-Soo KIMJoo-Bong PARK,1992 Barcelona,Badminton,Men's,doubles,Images/Medal_Gold.png,KOR,Gold
NaN,So-Young CHUNGHae-Young HWANG,1992 Barcelona,Badminton,Women's,doubles,Images/Medal_Gold.png,KOR,Gold
NaN,Hyang-Ja MOONHo-Youn LEEMi-Young LEEO Kyeong LIMJeong-Lim PARKHwa-Sook KIMJae-Kyung CHAEun-Young NAMSeongok OHJeong-Ho HONGHye-Sook MINRi-Ra JANGKap-Sook PARK,1992 Barcelona,Handball,Women's,handball,Images/Medal_Gold.png,KOR,Gold
