Medal,Athletes,Games,Sport,Event,Event.1,links,country,medals_corrected
NaN,KAYAALP Riza,2016 Rio de Janeiro,Wrestling Greco-Roman,Men's,130kg,Images/Medal_Silver.png,TUR,Silver
NaN,COPELLO Yasmani,2016 Rio de Janeiro,Athletics,Men's,400m hurdles,Images/Medal_Bronze.png,TUR,Bronze
NaN,TATAR Nur,2016 Rio de Janeiro,Taekwondo,Women's,57 - 67 kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,DEMIRTAS Soner,2016 Rio de Janeiro,Wrestling Freestyle,Men's,74kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,ILDEM Cenk,2016 Rio de Janeiro,Wrestling Greco-Roman,Men's,98kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,GAZOZ Mete,2021 Tokyo,Archery,Men's,individual (FITA Olympic round - 70m),Images/Medal_Gold.png,TUR,Gold
NaN,SURMENELI Busenaz,2021 Tokyo,Boxing,Women's,64 - 69kg (welterweight),Images/Medal_Gold.png,TUR,Gold
NaN,CAKIROGLU Buse Naz,2021 Tokyo,Boxing,Women's,48 - 51kg (flyweight),Images/Medal_Silver.png,TUR,Silver
NaN,SAMDAN Eray,2021 Tokyo,Karate,Men's,Kumite - 67kg,Images/Medal_Silver.png,TUR,Silver
NaN,ARICAN Ferhat,2021 Tokyo,Gymnastics Artistic,Men's,parallel bars,Images/Medal_Bronze.png,TUR,Bronze
NaN,AKTAS Ugur,2021 Tokyo,Karate,Men's,Kumite + 75kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,SOFUOGLU Ali,2021 Tokyo,Karate,Men's,Kata,Images/Medal_Bronze.png,TUR,Bronze
NaN,COBAN Merve,2021 Tokyo,Karate,Women's,Kumite - 61kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,RECBER Hakan,2021 Tokyo,Taekwondo,Men's,58 - 68 kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,ILGUN Hatice Kubra,2021 Tokyo,Taekwondo,Women's,49 - 57 kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,AKGUL Taha,2021 Tokyo,Wrestling Freestyle,Men's,125kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,ADAR Yasemin,2021 Tokyo,Wrestling Freestyle,Women's,76kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,KAYAALP Riza,2021 Tokyo,Wrestling Greco-Roman,Men's,130kg,Images/Medal_Bronze.png,TUR,Bronze
NaN,GURYEVA Polina,2021 Tokyo,Weightlifting,Women's,59kg,Images/Medal_Silver.png,TKM,Silver
NaN,NaN,NaN,NaN,NaN,NaN,NaN,TUV,NaN
NaN,Eridadi MUKWANGA,1968 Mexico,Boxing,Men's,51 - 54kg (bantamweight),Images/Medal_Silver.png,UGA,Silver
NaN,Leo RWABDOGO,1968 Mexico,Boxing,Men's,48 - 51kg (flyweight),Images/Medal_Bronze.png,UGA,Bronze
NaN,John AKII-BUA,1972 Munich,Athletics,Men's,400m hurdles,Images/Medal_Gold.png,UGA,Gold
NaN,Leo RWABDOGO,1972 Munich,Boxing,Men's,48 - 51kg (flyweight),Images/Medal_Silver.png,UGA,Silver
NaN,John MUGABI,1980 Moscow,Boxing,Men's,63.5 - 67kg (welterweight),Images/Medal_Silver.png,UGA,Silver
NaN,Камога,1996 Atlanta,Athletics,Men's,400m,Images/Medal_Bronze.png,UGA,Bronze
NaN,Stephen KIPROTICH,2012 London,Athletics,Men's,marathon,Images/Medal_Gold.png,UGA,Gold
NaN,CHEPTEGEI Joshua,2021 Tokyo,Athletics,Men's,5000m,Images/Medal_Gold.png,UGA,Gold
NaN,CHEMUTAI Peruth,2021 Tokyo,Athletics,Women's,3000m steeplechase,Images/Medal_Gold.png,UGA,Gold
NaN,CHEPTEGEI Joshua,2021 Tokyo,Athletics,Men's,10000m,Images/Medal_Silver.png,UGA,Silver
NaN,KIPLIMO Jacob,2021 Tokyo,Athletics,Men's,10000m,Images/Medal_Bronze.png,UGA,Bronze
NaN,Oksana BAIUL,1994 Lillehammer,Figure skating,Women's,individual,Images/Medal_Gold.png,UKR,Gold
NaN,Valentyna TSERBE-NESSINA,1994 Lillehammer,Biathlon,Women's,7.5km sprint,Images/Medal_Bronze.png,UKR,Bronze
NaN,Кравец,1996 Atlanta,Athletics,Women's,triple jump,Images/Medal_Gold.png,UKR,Gold
NaN,Кличко,1996 Atlanta,Boxing,Men's,+ 91kg (super heavyweight),Images/Medal_Gold.png,UKR,Gold
NaN,Шарипов,1996 Atlanta,Gymnastics Artistic,Men's,parallel bars,Images/Medal_Gold.png,UKR,Gold
NaN,Подкопаева,1996 Atlanta,Gymnastics Artistic,Women's,individual all-round,Images/Medal_Gold.png,UKR,Gold
NaN,Подкопаева,1996 Atlanta,Gymnastics Artistic,Women's,floor exercises,Images/Medal_Gold.png,UKR,Gold
NaN,Серебрянская,1996 Atlanta,Gymnastics Rhythmic,Women's,individual all-round,Images/Medal_Gold.png,UKR,Gold
NaN,МатвиенкоБраславец,1996 Atlanta,Sailing,Men's,470 - Two Person Dinghy,Images/Medal_Gold.png,UKR,Gold
NaN,Таймазов,1996 Atlanta,Weightlifting,Men's,99 - 108kg (heavyweight),Images/Medal_Gold.png,UKR,Gold
NaN,Олейник,1996 Atlanta,Wrestling Greco-Roman,Men's,82 - 90kg (light-heavyweight),Images/Medal_Gold.png,UKR,Gold
NaN,Подкопаева,1996 Atlanta,Gymnastics Artistic,Women's,balance beam,Images/Medal_Silver.png,UKR,Silver
NaN,ФроловаМифтахутдиноваРонжинаМазий,1996 Atlanta,Rowing,Women's,quadruple sculls without coxswain,Images/Medal_Silver.png,UKR,Silver
NaN,Садовничая,1996 Atlanta,Archery,Women's,individual (FITA Olympic round - 70m),Images/Medal_Bronze.png,UKR,Bronze
NaN,Багач,1996 Atlanta,Athletics,Men's,shot put,Images/Medal_Bronze.png,UKR,Bronze
NaN,Крыкун,1996 Atlanta,Athletics,Men's,hammer throw,Images/Medal_Bronze.png,UKR,Bronze
NaN,Бабакова,1996 Atlanta,Athletics,Women's,high jump,Images/Medal_Bronze.png,UKR,Bronze
NaN,Кирюхин,1996 Atlanta,Boxing,Men's,- 48kg (light-flyweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,ШамаенкоСветличныйЕрмаковШариповКоробчинскийМисютин,1996 Atlanta,Gymnastics Artistic,Men's,team competition,Images/Medal_Bronze.png,UKR,Bronze
NaN,Витриченко,1996 Atlanta,Gymnastics Rhythmic,Women's,individual all-round,Images/Medal_Bronze.png,UKR,Bronze
NaN,ПахольчикТаран,1996 Atlanta,Sailing,Women's,470 - Two Person Dinghy,Images/Medal_Bronze.png,UKR,Bronze
NaN,Готфрид,1996 Atlanta,Weightlifting,Men's,91 - 99kg (first-heavyweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Тедеев,1996 Atlanta,Wrestling Freestyle,Men's,57 - 62kg (featherweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Зазиров,1996 Atlanta,Wrestling Freestyle,Men's,62 - 68kg (lightweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Калашников,1996 Atlanta,Wrestling Greco-Roman,Men's,48 - 52kg (flyweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Петрова,1998 Nagano,Biathlon,Women's,15km individual,Images/Medal_Silver.png,UKR,Silver
NaN,Микола Мильчев,2000 Sydney,Shooting,Men's,Skeet,Images/Medal_Gold.png,UKR,Gold
NaN,Яна Клочкова,2000 Sydney,Swimming,Women's,200m individual medley,Images/Medal_Gold.png,UKR,Gold
NaN,Яна Клочкова,2000 Sydney,Swimming,Women's,400m individual medley,Images/Medal_Gold.png,UKR,Gold
NaN,NaN,2000 Sydney,Archery,Women's,team (FITA Olympic round - 70m),Images/Medal_Silver.png,UKR,Silver
NaN,Андрей Котельник,2000 Sydney,Boxing,Men's,57 - 60kg (lightweight),Images/Medal_Silver.png,UKR,Silver
NaN,Сергей Доценко,2000 Sydney,Boxing,Men's,63.5 - 67kg (welterweight),Images/Medal_Silver.png,UKR,Silver
NaN,NaN,2000 Sydney,Cycling Track,Men's,Team Pursuit (4000m),Images/Medal_Silver.png,UKR,Silver
NaN,NaN,2000 Sydney,Gymnastics Artistic,Men's,team competition,Images/Medal_Silver.png,UKR,Silver
NaN,Денис Силантьев,2000 Sydney,Swimming,Men's,200m butterfly,Images/Medal_Silver.png,UKR,Silver
NaN,Яна Клочкова,2000 Sydney,Swimming,Women's,800m freestyle,Images/Medal_Silver.png,UKR,Silver
NaN,Оксана Цыгулева,2000 Sydney,Trampoline,Women's,individual,Images/Medal_Silver.png,UKR,Silver
NaN,Евгений Буслович,2000 Sydney,Wrestling Freestyle,Men's,54 - 58kg,Images/Medal_Silver.png,UKR,Silver
NaN,Давид Солдадзе,2000 Sydney,Wrestling Greco-Roman,Men's,85 - 97kg,Images/Medal_Silver.png,UKR,Silver
NaN,Роман Щуренко,2000 Sydney,Athletics,Men's,long jump,Images/Medal_Bronze.png,UKR,Bronze
NaN,Елена Говорова,2000 Sydney,Athletics,Women's,triple jump,Images/Medal_Bronze.png,UKR,Bronze
NaN,Владимир Сидоренко,2000 Sydney,Boxing,Men's,48 - 51kg (flyweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Сергей Данильченко,2000 Sydney,Boxing,Men's,51 - 54kg (bantamweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Андрей Федчук,2000 Sydney,Boxing,Men's,75 - 81kg (light-heavyweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Ирина Янович,2000 Sydney,Cycling Track,Women's,sprint individual,Images/Medal_Bronze.png,UKR,Bronze
NaN,NaN,2000 Sydney,Diving,Women's,synchronized diving 3m springboard,Images/Medal_Bronze.png,UKR,Bronze
NaN,Александр Береш,2000 Sydney,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Bronze.png,UKR,Bronze
NaN,Руслан Машуренко,2000 Sydney,Judo,Men's,81 - 90kg (middleweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,NaN,2000 Sydney,Sailing,Women's,470 - Two Person Dinghy,Images/Medal_Bronze.png,UKR,Bronze
NaN,Валерий Гончаров,2004 Athens,Gymnastics Artistic,Men's,parallel bars,Images/Medal_Gold.png,UKR,Gold
NaN,Елена Костевич,2004 Athens,Shooting,Women's,10m air pistol,Images/Medal_Gold.png,UKR,Gold
NaN,Яна Клочкова,2004 Athens,Swimming,Women's,200m individual medley,Images/Medal_Gold.png,UKR,Gold
NaN,Яна Клочкова,2004 Athens,Swimming,Women's,400m individual medley,Images/Medal_Gold.png,UKR,Gold
NaN,Юрий Никитин,2004 Athens,Trampoline,Men's,individual,Images/Medal_Gold.png,UKR,Gold
NaN,Наталья Скакун,2004 Athens,Weightlifting,Women's,58 - 63kg (middleweight),Images/Medal_Gold.png,UKR,Gold
NaN,Эльбрус Тедеев,2004 Athens,Wrestling Freestyle,Men's,60 - 66kg,Images/Medal_Gold.png,UKR,Gold
NaN,Ирина Мерлени,2004 Athens,Wrestling Freestyle,Women's,- 48kg,Images/Medal_Gold.png,UKR,Gold
NaN,Елена Красовска,2004 Athens,Athletics,Women's,100m hurdles,Images/Medal_Silver.png,UKR,Silver
NaN,Роман Гонтюк,2004 Athens,Judo,Men's,73 - 81kg (half-middleweight),Images/Medal_Silver.png,UKR,Silver
NaN,Георгий ЛеончукРодион Лука,2004 Athens,Sailing,Mixed,49er - Skiff,Images/Medal_Silver.png,UKR,Silver
NaN,Ганна КалининаРуслана ТаранСветлана Матевушева,2004 Athens,Sailing,Women's,Yngling - Keelboat,Images/Medal_Silver.png,UKR,Silver
NaN,Игорь Разоренов,2004 Athens,Weightlifting,Men's,94 - 105kg (heavyweight),Images/Medal_Silver.png,UKR,Silver
NaN,NaN,2004 Athens,Archery,Men's,team (FITA Olympic round - 70m),Images/Medal_Bronze.png,UKR,Bronze
NaN,Татьяна Терещук-Антипова,2004 Athens,Athletics,Women's,400m hurdles,Images/Medal_Bronze.png,UKR,Bronze
NaN,Виктория Степина,2004 Athens,Athletics,Women's,high jump,Images/Medal_Bronze.png,UKR,Bronze
NaN,NaN,2004 Athens,Canoe Sprint,Women's,K-4 500m (kayak four),Images/Medal_Bronze.png,UKR,Bronze
NaN,Владислав Третьяк,2004 Athens,Fencing,Men's,sabre individual,Images/Medal_Bronze.png,UKR,Bronze
NaN,Анна Бессонова,2004 Athens,Gymnastics Rhythmic,Women's,individual all-round,Images/Medal_Bronze.png,UKR,Bronze
NaN,NaN,2004 Athens,Handball,Women's,handball,Images/Medal_Bronze.png,UKR,Bronze
NaN,NaN,2004 Athens,Rowing,Men's,quadruple sculls without coxswain,Images/Medal_Bronze.png,UKR,Bronze
NaN,Андрей Сердинов,2004 Athens,Swimming,Men's,100m butterfly,Images/Medal_Bronze.png,UKR,Bronze
NaN,Lilia VAYGINA-EFREMOVA,2006 Turin,Biathlon,Women's,7.5km sprint,Images/Medal_Bronze.png,UKR,Bronze
NaN,Elena GRUSHINARuslan GONCHAROV,2006 Turin,Figure skating,Mixed,ice dancing,Images/Medal_Bronze.png,UKR,Bronze
NaN,Viktor RUBAN,2008 Beijing,Archery,Men's,individual (FITA Olympic round - 70m),Images/Medal_Gold.png,UKR,Gold
NaN,Natallia DOBRYNSKA,2008 Beijing,Athletics,Women's,heptathlon,Images/Medal_Gold.png,UKR,Gold
NaN,Vasyl LOMACHENKO,2008 Beijing,Boxing,Men's,54 - 57kg (featherweight),Images/Medal_Gold.png,UKR,Gold
NaN,Inna OSYPENKO,2008 Beijing,Canoe Sprint,Women's,K-1 500m (kayak single),Images/Medal_Gold.png,UKR,Gold
NaN,Olga KHARLANOlena KHOMROVAOlha ZHOVNIRGalyna PUNDYK,2008 Beijing,Fencing,Women's,sabre team,Images/Medal_Gold.png,UKR,Gold
NaN,Artur AIVAZIAN,2008 Beijing,Shooting,Men's,50m rifle prone,Images/Medal_Gold.png,UKR,Gold
NaN,Oleksandr PETRIV,2008 Beijing,Shooting,Men's,25m rapid fire pistol,Images/Medal_Gold.png,UKR,Gold
NaN,Iryna LISHCHYNSKA,2008 Beijing,Athletics,Women's,1500m,Images/Medal_Silver.png,UKR,Silver
NaN,Olena ANTONOVA,2008 Beijing,Athletics,Women's,discus throw,Images/Medal_Silver.png,UKR,Silver
NaN,Yuriy SUKHORUKOV,2008 Beijing,Shooting,Men's,50m rifle 3 positions,Images/Medal_Silver.png,UKR,Silver
NaN,Andriy STADNIK,2008 Beijing,Wrestling Freestyle,Men's,60 - 66kg,Images/Medal_Silver.png,UKR,Silver
NaN,Nataliya TOBIAS,2008 Beijing,Athletics,Women's,1500m,Images/Medal_Bronze.png,UKR,Bronze
NaN,Vyacheslav GLAZKOV,2008 Beijing,Boxing,Men's,+ 91kg (super heavyweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Yuriy CHEBAN,2008 Beijing,Canoe Sprint,Men's,C-1 500m (canoe single),Images/Medal_Bronze.png,UKR,Bronze
NaN,Lesya KALITOVSKA,2008 Beijing,Cycling Track,Women's,individual pursuit,Images/Medal_Bronze.png,UKR,Bronze
NaN,Oleksiy PRYGOROVIllya KVASHA,2008 Beijing,Diving,Men's,synchronized diving 3m springboard,Images/Medal_Bronze.png,UKR,Bronze
NaN,Oleksandr VOROBIOV,2008 Beijing,Gymnastics Artistic,Men's,rings,Images/Medal_Bronze.png,UKR,Bronze
NaN,Anna BESSONOVA,2008 Beijing,Gymnastics Rhythmic,Women's,individual all-round,Images/Medal_Bronze.png,UKR,Bronze
NaN,Roman GONTIUK,2008 Beijing,Judo,Men's,73 - 81kg (half-middleweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Taras DANKO,2008 Beijing,Wrestling Freestyle,Men's,74 - 84kg,Images/Medal_Bronze.png,UKR,Bronze
NaN,Irini MERLENI,2008 Beijing,Wrestling Freestyle,Women's,- 48kg,Images/Medal_Bronze.png,UKR,Bronze
NaN,Armen VARDANYAN,2008 Beijing,Wrestling Greco-Roman,Men's,60 - 66kg,Images/Medal_Bronze.png,UKR,Bronze
NaN,Vasyl LOMACHENKO,2012 London,Boxing,Men's,56 - 60kg (lightweight),Images/Medal_Gold.png,UKR,Gold
NaN,Oleksandr USYK,2012 London,Boxing,Men's,81 - 91kg (heavyweight),Images/Medal_Gold.png,UKR,Gold
NaN,Yuriy CHEBAN,2012 London,Canoe Sprint,Men's,C-1 200m (canoe single),Images/Medal_Gold.png,UKR,Gold
NaN,Yana SHEMYAKINA,2012 London,Fencing,Women's,épée individual,Images/Medal_Gold.png,UKR,Gold
NaN,Yana DEMENTYEVAKateryna TARASENKONataliya DOVGODKOAnastasiia KOZHENKOVA,2012 London,Rowing,Women's,quadruple sculls without coxswain,Images/Medal_Gold.png,UKR,Gold
NaN,Denys BERINCHYK,2012 London,Boxing,Men's,60 - 64kg (light-welterweight),Images/Medal_Silver.png,UKR,Silver
NaN,Inna OSYPENKO,2012 London,Canoe Sprint,Women's,K-1 200m (kayak single),Images/Medal_Silver.png,UKR,Silver
NaN,Inna OSYPENKO,2012 London,Canoe Sprint,Women's,K-1 500m (kayak single),Images/Medal_Silver.png,UKR,Silver
NaN,Valerii ANDRIITSEV,2012 London,Wrestling Freestyle,Men's,84 - 96kg,Images/Medal_Silver.png,UKR,Silver
NaN,Olesya POVHHrystyna STUYMariya RYEMYENYelyzaveta BRYZGINA,2012 London,Athletics,Women's,4x100m relay,Images/Medal_Bronze.png,UKR,Bronze
NaN,Alina LohvynenkoHanna YaroshchukOlha ZemlyakNataliya Pyhyda,2012 London,Athletics,Women's,4x400m relay,Images/Medal_Bronze.png,UKR,Bronze
NaN,Olga SALADUKHA,2012 London,Athletics,Women's,triple jump,Images/Medal_Bronze.png,UKR,Bronze
NaN,Taras SHELESTYUK,2012 London,Boxing,Men's,64 - 69kg (welterweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Oleksandr GVOZDYK,2012 London,Boxing,Men's,75 - 81kg (light-heavyweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Olga KHARLAN,2012 London,Fencing,Women's,sabre individual,Images/Medal_Bronze.png,UKR,Bronze
NaN,Igor RADIVILOV,2012 London,Gymnastics Artistic,Men's,vault,Images/Medal_Bronze.png,UKR,Bronze
NaN,Olena KOSTEVYCH,2012 London,Shooting,Women's,10m air pistol,Images/Medal_Bronze.png,UKR,Bronze
NaN,Olena KOSTEVYCH,2012 London,Shooting,Women's,25m pistol,Images/Medal_Bronze.png,UKR,Bronze
NaN,Iulia Paratova,2012 London,Weightlifting,Women's,48 - 53kg (featherweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,Valj SEMERENKOJuliya DZHYMAVita SEMERENKOOlena PIDHRUSHNA,2014 Sochi,Biathlon,Women's,4x6km relay,Images/Medal_Gold.png,UKR,Gold
NaN,Vita SEMERENKO,2014 Sochi,Biathlon,Women's,7.5km sprint,Images/Medal_Bronze.png,UKR,Bronze
NaN,CHEBAN Iurii,2016 Rio de Janeiro,Canoe Sprint,Men's,C-1 200m (canoe single),Images/Medal_Gold.png,UKR,Gold
NaN,VERNIAIEV Oleg,2016 Rio de Janeiro,Gymnastics Artistic,Men's,parallel bars,Images/Medal_Gold.png,UKR,Gold
NaN,Ukraine,2016 Rio de Janeiro,Fencing,Women's,sabre team,Images/Medal_Silver.png,UKR,Silver
NaN,VERNIAIEV Oleg,2016 Rio de Janeiro,Gymnastics Artistic,Men's,individual all-round,Images/Medal_Silver.png,UKR,Silver
NaN,TYMOSHCHENKO Pavlo,2016 Rio de Janeiro,Modern Pentathlon,Men's,individual competition,Images/Medal_Silver.png,UKR,Silver
NaN,KULISH Serhiy,2016 Rio de Janeiro,Shooting,Men's,10m air rifle,Images/Medal_Silver.png,UKR,Silver
NaN,BELENIUK Zhan,2016 Rio de Janeiro,Wrestling Greco-Roman,Men's,85kg,Images/Medal_Silver.png,UKR,Silver
NaN,BONDARENKO Bohdan,2016 Rio de Janeiro,Athletics,Men's,high jump,Images/Medal_Bronze.png,UKR,Bronze
NaN,IanchukMishchuk,2016 Rio de Janeiro,Canoe Sprint,Men's,C-2 1000m (canoe double),Images/Medal_Bronze.png,UKR,Bronze
NaN,KHARLAN Olga,2016 Rio de Janeiro,Fencing,Women's,sabre individual,Images/Medal_Bronze.png,UKR,Bronze
NaN,RIZATDINOVA Ganna,2016 Rio de Janeiro,Gymnastics Rhythmic,Women's,individual all-round,Images/Medal_Bronze.png,UKR,Bronze
NaN,Oleksandr ABRAMENKO,2018 Pyeongchang,Freestyle Skiing,Men's,aerials,Images/Medal_Gold.png,UKR,Gold
NaN,BELENIUK Zhan,2021 Tokyo,Wrestling Greco-Roman,Men's,87kg,Images/Medal_Gold.png,UKR,Gold
NaN,KHYZHNIAK Oleksandr,2021 Tokyo,Boxing,Men's,69 - 75kg (middleweight),Images/Medal_Silver.png,UKR,Silver
NaN,LUZAN LiudmylaCHETVERIKOVA Anastasiia,2021 Tokyo,Canoe Sprint,Women's,C-2 500m (canoe double),Images/Medal_Silver.png,UKR,Silver
NaN,STARIKOVA Olena,2021 Tokyo,Cycling Track,Women's,sprint individual,Images/Medal_Silver.png,UKR,Silver
NaN,TERLIUGA Anzhelika,2021 Tokyo,Karate,Women's,Kumite - 55kg,Images/Medal_Silver.png,UKR,Silver
NaN,ROMANCHUK Mykhailo,2021 Tokyo,Swimming,Men's,1500m freestyle,Images/Medal_Silver.png,UKR,Silver
NaN,NASIBOV Parviz,2021 Tokyo,Wrestling Greco-Roman,Men's,67kg,Images/Medal_Silver.png,UKR,Silver
NaN,FIEDINA MartaSAVCHUK Anastasiya,2021 Tokyo,Artistic Swimming,Women's,duet,Images/Medal_Bronze.png,UKR,Bronze
NaN,ALEKSIIVA MarynaFIEDINA MartaSAVCHUK AnastasiyaSYDORENKO KseniyaALEKSIIVA VladyslavaREZNIK KaterynaSHYNKARENKO AlinaYAKHNO Yelyzaveta,2021 Tokyo,Artistic Swimming,Women's,team,Images/Medal_Bronze.png,UKR,Bronze
NaN,MAHUCHIKH Yaroslava,2021 Tokyo,Athletics,Women's,high jump,Images/Medal_Bronze.png,UKR,Bronze
NaN,LUZAN Liudmyla,2021 Tokyo,Canoe Sprint,Women's,C-1 200m (canoe single),Images/Medal_Bronze.png,UKR,Bronze
NaN,REIZLIN Igor,2021 Tokyo,Fencing,Men's,épée individual,Images/Medal_Bronze.png,UKR,Bronze
NaN,BILODID Daria,2021 Tokyo,Judo,Women's,- 48kg (extra-lightweight),Images/Medal_Bronze.png,UKR,Bronze
NaN,HORUNA Stanislav,2021 Tokyo,Karate,Men's,Kumite - 75kg,Images/Medal_Bronze.png,UKR,Bronze
NaN,KOSTEVYCH OlenaOMELCHUK Oleh,2021 Tokyo,Shooting,Mixed,10m air pistol team,Images/Medal_Bronze.png,UKR,Bronze
NaN,ROMANCHUK Mykhailo,2021 Tokyo,Swimming,Men's,800m freestyle,Images/Medal_Bronze.png,UKR,Bronze
NaN,SVITOLINA Elina,2021 Tokyo,Tennis,Women's,singles,Images/Medal_Bronze.png,UKR,Bronze
NaN,KOLIADENKO Iryna,2021 Tokyo,Wrestling Freestyle,Women's,62kg,Images/Medal_Bronze.png,UKR,Bronze
NaN,CHERKASOVA Alla,2021 Tokyo,Wrestling Freestyle,Women's,68kg,Images/Medal_Bronze.png,UKR,Bronze
NaN,Ахмед Аль-Актум,2004 Athens,Shooting,Men's,Double trap,Images/Medal_Gold.png,UAE,Gold
NaN,TOMA Sergiu,2016 Rio de Janeiro,Judo,Men's,73 - 81kg (half-middleweight),Images/Medal_Bronze.png,UAE,Bronze
NaN,Thomas BURKE,1896 Athens,Athletics,Men's,100m,Images/Medal_Gold.png,USA,Gold
NaN,Thomas BURKE,1896 Athens,Athletics,Men's,400m,Images/Medal_Gold.png,USA,Gold
NaN,Thomas CURTIS,1896 Athens,Athletics,Men's,110m hurdles,Images/Medal_Gold.png,USA,Gold
NaN,Ellery CLARK,1896 Athens,Athletics,Men's,long jump,Images/Medal_Gold.png,USA,Gold
NaN,James CONNOLLY,1896 Athens,Athletics,Men's,triple jump,Images/Medal_Gold.png,USA,Gold
NaN,Ellery CLARK,1896 Athens,Athletics,Men's,high jump,Images/Medal_Gold.png,USA,Gold
NaN,William Welles HOYT,1896 Athens,Athletics,Men's,pole vault,Images/Medal_Gold.png,USA,Gold
NaN,Robert GARRETT,1896 Athens,Athletics,Men's,shot put,Images/Medal_Gold.png,USA,Gold
NaN,Robert GARRETT,1896 Athens,Athletics,Men's,discus throw,Images/Medal_Gold.png,USA,Gold
NaN,John PAINE,1896 Athens,Shooting,Men's,25m army pistol,Images/Medal_Gold.png,USA,Gold
NaN,Sumner PAINE,1896 Athens,Shooting,Men's,50m pistol,Images/Medal_Gold.png,USA,Gold
NaN,Herbert JAMISON,1896 Athens,Athletics,Men's,400m,Images/Medal_Silver.png,USA,Silver
NaN,Arthur BLAKE,1896 Athens,Athletics,Men's,1500m,Images/Medal_Silver.png,USA,Silver
NaN,Robert GARRETT,1896 Athens,Athletics,Men's,long jump,Images/Medal_Silver.png,USA,Silver
NaN,James CONNOLLY,1896 Athens,Athletics,Men's,high jump,Images/Medal_Silver.png,USA,Silver
NaN,Robert GARRETT,1896 Athens,Athletics,Men's,high jump,Images/Medal_Silver.png,USA,Silver
NaN,Albert TYLER,1896 Athens,Athletics,Men's,pole vault,Images/Medal_Silver.png,USA,Silver
NaN,Sumner PAINE,1896 Athens,Shooting,Men's,25m army pistol,Images/Medal_Silver.png,USA,Silver
NaN,Francis LANE,1896 Athens,Athletics,Men's,100m,Images/Medal_Bronze.png,USA,Bronze
NaN,James CONNOLLY,1896 Athens,Athletics,Men's,long jump,Images/Medal_Bronze.png,USA,Bronze
NaN,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,60m,Images/Medal_Gold.png,USA,Gold
NaN,Francis JARVIS,1900 Paris,Athletics,Men's,100m,Images/Medal_Gold.png,USA,Gold
NaN,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,200m,Images/Medal_Gold.png,USA,Gold
NaN,Maxwell W.Maxey LONG,1900 Paris,Athletics,Men's,400m,Images/Medal_Gold.png,USA,Gold
NaN,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,110m hurdles,Images/Medal_Gold.png,USA,Gold
NaN,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,200m hurdles,Images/Medal_Gold.png,USA,Gold
NaN,Walter B. John TEWKSBURY,1900 Paris,Athletics,Men's,400m hurdles,Images/Medal_Gold.png,USA,Gold
NaN,Alvin KRAENZLEIN,1900 Paris,Athletics,Men's,long jump,Images/Medal_Gold.png,USA,Gold
NaN,Ray EWRY,1900 Paris,Athletics,Men's,"long jump, standing",Images/Medal_Gold.png,USA,Gold
NaN,Meyer PRINSTEIN,1900 Paris,Athletics,Men's,triple jump,Images/Medal_Gold.png,USA,Gold
NaN,Ray EWRY,1900 Paris,Athletics,Men's,"triple jump, standing",Images/Medal_Gold.png,USA,Gold
NaN,Irving BAXTER,1900 Paris,Athletics,Men's,high jump,Images/Medal_Gold.png,USA,Gold
NaN,Ray EWRY,1900 Paris,Athletics,Men's,"high jump, standing",Images/Medal_Gold.png,USA,Gold
NaN,Irving BAXTER,1900 Paris,Athletics,Men's,pole vault,Images/Medal_Gold.png,USA,Gold
NaN,Richard SHELDON,1900 Paris,Athletics,Men's,shot put,Images/Medal_Gold.png,USA,Gold
NaN,John Jesus FLANAGAN,1900 Paris,Athletics,Men's,hammer throw,Images/Medal_Gold.png,USA,Gold
NaN,Charles Edward SANDS,1900 Paris,Golf,Men's,individual,Images/Medal_Gold.png,USA,Gold
NaN,Margaret Ives ABBOTT,1900 Paris,Golf,Women's,individual,Images/Medal_Gold.png,USA,Gold
